subject,predicate,object
Draft_outline,dc:identifier,item002
Draft_outline,dc:title,Draft Outline of International Bill of Rights
Draft_outline,crm:P2_has_type,Archival Document
Draft_outline,dc:creator,UN Commission on Human Rights
Draft_outline,dcterms:created,04/06/1947
Draft_outline,dc:language,English/French
Draft_outline,dc:format,PDF
Draft_outline,dc:rights,UN Digital Library Terms
Draft_outline,crm:P7_took_place_at,New York USA
Draft_outline,schema:url,https://digitallibrary.un.org/record/621094?v=pdf
Draft_outline,crm:P129_is_about,item001
